id	algorithm	lr_setting	clip_norm	gpu	config
bandinv_lr0.1_clip1	bandinv	lr0.1	1.0	0	exp1/config/bandinv/lr0.1_clip1.yaml
bandinv_lr0.1_clip5	bandinv	lr0.1	5.0	0	exp1/config/bandinv/lr0.1_clip5.yaml
bandinv_lr0.1_clip10	bandinv	lr0.1	10.0	0	exp1/config/bandinv/lr0.1_clip10.yaml
bandinv_lr0.5_clip1	bandinv	lr0.5	1.0	1	exp1/config/bandinv/lr0.5_clip1.yaml
bandinv_lr0.5_clip5	bandinv	lr0.5	5.0	1	exp1/config/bandinv/lr0.5_clip5.yaml
bandinv_lr0.5_clip10	bandinv	lr0.5	10.0	1	exp1/config/bandinv/lr0.5_clip10.yaml
bandinv_lr1.0_clip1	bandinv	lr1.0	1.0	2	exp1/config/bandinv/lr1.0_clip1.yaml
bandinv_lr1.0_clip5	bandinv	lr1.0	5.0	2	exp1/config/bandinv/lr1.0_clip5.yaml
bandinv_lr1.0_clip10	bandinv	lr1.0	10.0	2	exp1/config/bandinv/lr1.0_clip10.yaml
dpsgd_lr0.1_clip1	dpsgd	lr0.1	1.0	1	exp1/config/dpsgd/lr0.1_clip1.yaml
dpsgd_lr0.1_clip5	dpsgd	lr0.1	5.0	1	exp1/config/dpsgd/lr0.1_clip5.yaml
dpsgd_lr0.1_clip10	dpsgd	lr0.1	10.0	1	exp1/config/dpsgd/lr0.1_clip10.yaml
dpsgd_lr0.5_clip1	dpsgd	lr0.5	1.0	2	exp1/config/dpsgd/lr0.5_clip1.yaml
dpsgd_lr0.5_clip5	dpsgd	lr0.5	5.0	2	exp1/config/dpsgd/lr0.5_clip5.yaml
dpsgd_lr0.5_clip10	dpsgd	lr0.5	10.0	2	exp1/config/dpsgd/lr0.5_clip10.yaml
dpsgd_lr1.0_clip1	dpsgd	lr1.0	1.0	0	exp1/config/dpsgd/lr1.0_clip1.yaml
dpsgd_lr1.0_clip5	dpsgd	lr1.0	5.0	0	exp1/config/dpsgd/lr1.0_clip5.yaml
dpsgd_lr1.0_clip10	dpsgd	lr1.0	10.0	0	exp1/config/dpsgd/lr1.0_clip10.yaml
dpmuon_low_clip1	dpmuon	low	1.0	2	exp1/config/dpmuon/low_clip1.yaml
dpmuon_low_clip5	dpmuon	low	5.0	2	exp1/config/dpmuon/low_clip5.yaml
dpmuon_low_clip10	dpmuon	low	10.0	2	exp1/config/dpmuon/low_clip10.yaml
dpmuon_base_clip1	dpmuon	base	1.0	0	exp1/config/dpmuon/base_clip1.yaml
dpmuon_base_clip5	dpmuon	base	5.0	0	exp1/config/dpmuon/base_clip5.yaml
dpmuon_base_clip10	dpmuon	base	10.0	0	exp1/config/dpmuon/base_clip10.yaml
dpmuon_high_clip1	dpmuon	high	1.0	1	exp1/config/dpmuon/high_clip1.yaml
dpmuon_high_clip5	dpmuon	high	5.0	1	exp1/config/dpmuon/high_clip5.yaml
dpmuon_high_clip10	dpmuon	high	10.0	1	exp1/config/dpmuon/high_clip10.yaml
