step,p_mean,p_median,p_p10,p_p25,p_p75,p_p90,p_rms,relative_change
1,1.0177252888679504,1.0177252888679504,0.625807249546051,0.7727765142917633,1.2626740634441376,1.40964332818985,1.129497398078834,0.0
2,0.4822347164154053,0.4822347164154053,0.47512843608856203,0.47779329121112823,0.4866761416196823,0.4893409967422485,0.4823165213297458,0.6478992762261089
3,0.4957597404718399,0.4957597404718399,0.4596157342195511,0.4731697365641594,0.5183497443795204,0.5319037467241288,0.49781417555037755,0.1155444088535471
4,0.3751232177019119,0.3751232177019119,0.3727279812097549,0.3736261948943138,0.37662024050951004,0.37751845419406893,0.3751351659977799,0.2567221899895306
5,0.4069284647703171,0.4069284647703171,0.3860307067632675,0.3938673660159111,0.41998956352472305,0.42782622277736665,0.4077660415520358,0.10482988259680172
6,0.405330628156662,0.405330628156662,0.40473994612693787,0.4049614518880844,0.40569980442523956,0.4059213101863861,0.40533130064965783,0.06598890070523242
7,0.43513496220111847,0.43513496220111847,0.4349136739969254,0.43499665707349777,0.43527326732873917,0.43535625040531156,0.4351350501200772,0.07357342219267829
8,0.46171486377716064,0.46171486377716064,0.4561087846755981,0.4582110643386841,0.4652186632156372,0.46732094287872317,0.46176803903559877,0.06333654453402719
9,0.49179936945438385,0.49179936945438385,0.4894227534532547,0.49031398445367813,0.49328475445508957,0.494175985455513,0.49180834200949747,0.06864082806738193
10,0.5098676830530167,0.5098676830530167,0.495946529507637,0.5011669620871544,0.5185684040188789,0.5237888365983963,0.5101645463996441,0.055367771494194334
11,0.47814856469631195,0.47814856469631195,0.46004724204540254,0.46683523803949356,0.48946189135313034,0.49624988734722136,0.4786836276303157,0.06301226179846016
12,0.502975270152092,0.502975270152092,0.4775488704442978,0.4870837703347206,0.5188667699694633,0.5284016698598861,0.5039784533592204,0.05527945013159349
13,0.5277621150016785,0.5277621150016785,0.5055744051933289,0.51389479637146,0.541629433631897,0.5499498248100281,0.5284903595478473,0.04983402045778191
14,0.56524458527565,0.56524458527565,0.5414892494678497,0.5503975003957748,0.5800916701555252,0.5889999210834503,0.56602401442091,0.0710205124681476
15,0.5961040258407593,0.5961040258407593,0.5702327966690064,0.5799345076084137,0.6122735440731049,0.6219752550125122,0.5969805883804139,0.054719542007741304
16,0.6208730638027191,0.6208730638027191,0.5941870868206024,0.6041943281888962,0.637551799416542,0.6475590407848358,0.6217685117810957,0.04152558260962707
17,0.6573195159435272,0.6573195159435272,0.6321463525295258,0.6415862888097763,0.6730527430772781,0.6824926793575287,0.6580722481493971,0.058696244660223815
18,0.6759477853775024,0.6759477853775024,0.6620129346847534,0.6672385036945343,0.6846570670604706,0.6898826360702515,0.6761721784475336,0.035454208586635304
