window_index,start_step,end_step,num_seeds,mean_p_relative_change_mean,mean_p_relative_change_std,C_momentum_mean,C_momentum_std,C_frozen_p_mean,C_frozen_p_std,C_dynamic_clean_p_mean,C_dynamic_clean_p_std,C_real_adamw_mean,C_real_adamw_std,delta_p_cancellation_mean,delta_p_cancellation_std,extra_real_effect_mean,extra_real_effect_std
0,1,16,3,0.08660559852917989,0.0006103737643322188,1.2365525166193645,0.0010055576283831353,1.233487645785014,0.012997260596622508,1.1405359903971355,0.028028698700371866,7.7662703196207685,0.09365201868980759,-0.09295165538787842,0.015055457467733614,6.625734329223633,0.1079460476438301
1,17,32,3,0.0065939053893089294,0.00046486953950798795,1.2796848217646282,0.0006869539787935041,1.275239070256551,0.02444189489811005,1.2751700083414714,0.024516099643839318,13.459892908732096,0.05717811847701412,-6.906191507975261e-05,0.0004407463325196074,12.184722900390625,0.038472823017141486
2,33,48,3,0.003436850616708398,0.00022167238081799808,1.2871375878651936,0.00037761443148494697,1.289978265762329,0.030373100003911566,1.2902085383733113,0.030216779036190893,13.877352078755697,0.15340922464506146,0.00023027261098225912,0.0001570719953287693,12.587143540382385,0.14904249131626468
3,49,64,3,0.0024636369198560715,0.0005416472348786306,1.2873153686523438,0.0008279606522607828,1.2815384070078533,0.015783281674412588,1.281663457552592,0.01624936793039357,13.550297737121582,0.29596829333155467,0.00012505054473876953,0.0005606061813714796,12.26863427956899,0.28786112007549197
4,65,80,3,0.0018242707398409645,0.0003870886545972247,1.2870862086613972,0.0009734426231436478,1.283180872599284,0.024115128131448508,1.2831390301386516,0.023934732886062165,12.9495849609375,0.32010636411162474,-4.184246063232422e-05,0.00019243440567695075,11.666445930798849,0.29632103974596224
5,81,96,3,0.0012233773401627939,0.00013291344410887952,1.2866084575653076,0.0004539740961450564,1.3020857572555542,0.019297204702575513,1.301923116048177,0.019346640408249183,12.318249384562174,0.5560288389856995,-0.00016264120737711588,0.0001327985243323201,11.016326268513998,0.5562701827797427
6,97,112,3,0.0010084183692621689,9.33136047909339e-05,1.2884227832158406,0.0007805435523052492,1.292967438697815,0.022065748532794534,1.292919913927714,0.022031863891218736,12.007511774698893,0.35195194110867667,-4.752477010091146e-05,5.2517791979019386e-05,10.71459186077118,0.3717770999330513
7,113,128,3,0.0008606752186703185,7.18524817955168e-05,1.2876558701197307,0.0006418554210127062,1.2530126174290974,0.06191600876310983,1.253149390220642,0.06187194637349361,11.435494105021158,0.23588722693544312,0.00013677279154459635,5.7131272256519886e-05,10.182344714800516,0.194863641102134
8,129,144,3,0.0007586730256055793,5.051682399825406e-05,1.2872352600097656,0.0006167195672513944,1.290918191274007,0.028434222055950687,1.2908613284428914,0.02851166747390658,10.962566057840982,0.10702960313613609,-5.6862831115722656e-05,0.0001278558949441682,9.671704729398092,0.11347052882839263
9,145,160,3,0.0006646339897997677,2.9065425316464434e-05,1.2869703769683838,0.0003108086587940814,1.328215758005778,0.022085570042546118,1.3282570044199626,0.022043243370439322,10.564786593119303,0.27458621639106884,4.124641418457031e-05,9.288851791118622e-05,9.23652958869934,0.2923674025554831
