algorithm,window_index,start_step,end_step,num_seeds,mean_p_relative_change_mean,mean_p_relative_change_std,C_00_mean,C_00_std,C_10_mean,C_10_std,C_01_mean,C_01_std,C_11_mean,C_11_std,C_BC_mean,C_BC_std,C_real_mean,C_real_std,C_dynamic_clean_p_mean,C_dynamic_clean_p_std,gap_mean,gap_std,E_cross_mean,E_cross_std,E_square_mean,E_square_std,interaction_mean,interaction_std,R_BC_mean,R_BC_std,nonpositive_v_fraction_00_mean,nonpositive_v_fraction_00_std,nonpositive_v_fraction_10_mean,nonpositive_v_fraction_10_std,nonpositive_v_fraction_01_mean,nonpositive_v_fraction_01_std,nonpositive_v_fraction_11_mean,nonpositive_v_fraction_11_std,nonpositive_v_fraction_BC_mean,nonpositive_v_fraction_BC_std
baseline,0,1,16,3,0.08661039421955745,0.0005342541508600316,1.1404356956481934,0.027680488339026296,1.4750347137451172,0.008835064423719246,7.770927429199219,0.093655016902331,7.766346136728923,0.09367831126967091,1.5434844891230266,0.00025187504892896313,7.766346136728923,0.09367831126967091,1.1404356956481934,0.027680488339026296,6.6259104410807295,0.10806071383342986,0.1650088628133138,0.016891270830929277,6.460901578267415,0.09569018661763175,-0.33918031056722003,0.03239442835192725,0.9391878640115404,0.0037117002462080007,0.0,0.0,0.49858373403549194,0.0001623224903231215,0.0,0.0,0.0,0.0,0.5917721192042033,0.00020432025652956825
baseline,1,17,32,3,0.0065701754453281564,0.00041207794697810667,1.275437315305074,0.025289195227260367,1.5337668657302856,0.0058400678705190865,13.460249265034994,0.05716057436705102,13.460243860880533,0.05716189446628329,1.448314110438029,0.0012759459614855246,13.460243860880533,0.05716189446628329,1.275437315305074,0.025289195227260367,12.18480654557546,0.03866428486839969,0.12916207313537598,0.010460400707710716,12.055644472440084,0.04422186995607274,-0.2583349545796712,0.020921886209090215,0.9858096920617712,0.002040094438701127,0.0,0.0,0.4973539710044861,0.00024030322752239603,0.0,0.0,0.0,0.0,0.547890325387319,0.00011515207555671054
baseline,2,33,48,3,0.0034681545415272317,0.0003007348276765407,1.289105733235677,0.031022175204123335,1.4545174837112427,0.008205657092142944,13.877628962198893,0.15372824109287156,13.877620061238607,0.15372920211072222,1.418407400449117,0.00041255127141800617,13.877620061238607,0.15372920211072222,1.289105733235677,0.031022175204123335,12.58851432800293,0.14863255970420242,0.08270142475763957,0.01820780790231408,12.50581290324529,0.14753780732890084,-0.16542065143585205,0.03641795436597368,0.9897263779935842,0.0024581150143865556,0.0,0.0,0.4967714448769887,0.00041804855908902775,0.0,0.0,0.0,0.0,0.536984940369924,0.00017718271777764915
baseline,3,49,64,3,0.002453591014879445,0.0005241169993698907,1.2816671927769978,0.0167209303567412,1.4037923415501912,0.011836668605725721,13.549970626831055,0.2969388436106097,13.549965858459473,0.2969376649636027,1.398414929707845,0.0013168348362766849,13.549965858459473,0.2969376649636027,1.2816671927769978,0.0167209303567412,12.268298665682474,0.287693294491657,0.061060190200805664,0.013418376808895174,12.207238475481669,0.2915657259003966,-0.12212991714477539,0.026833817846923486,0.9904689719131045,0.0015945369707551999,0.0,0.0,0.4962661564350128,0.0003704817029681613,0.0,0.0,0.0,0.0,0.531354824701945,0.00018079043169377972
baseline,4,65,80,3,0.001824312494136393,0.00038282311294939166,1.2829273541768391,0.02386055038270172,1.3715252081553142,0.00470871778253258,12.950634956359863,0.32044693441038563,12.950629552205404,0.3204474041805875,1.3857947985331218,0.0024715886107115515,12.950629552205404,0.3204474041805875,1.2829273541768391,0.02386055038270172,11.667702198028564,0.2967406353722211,0.04429622491200765,0.010830649149809943,11.623405973116556,0.3075488169640024,-0.08860325813293457,0.021661423035882674,0.9911441230509673,0.0023278249755278955,0.0,0.0,0.4959404468536377,0.00033744866693132897,0.0,0.0,0.0,0.0,0.5277203917503357,9.452253710469441e-05
baseline,5,81,96,3,0.0012168850128849347,0.00012928587017151176,1.3016616503397624,0.01930017660904188,1.3557443618774414,0.001942571981271835,12.320101420084635,0.5556100237806538,12.320098876953125,0.5556103732459958,1.3765822649002075,0.000663702352500782,12.320098876953125,0.5556103732459958,1.3016616503397624,0.01930017660904188,11.018437226613363,0.5561642853647721,0.02704008420308431,0.010531682594599438,10.991397142410278,0.5553529584777778,-0.05408525466918945,0.02106247914681342,0.9931920446504323,0.0017653001269647905,0.0,0.0,0.4957369069258372,0.00020842601909513953,0.0,0.0,0.0,0.0,0.5251762469609579,0.00021382413730713668
baseline,6,97,112,3,0.0010066408819208543,0.00010348411211709634,1.293018380800883,0.02177220944955609,1.3462730646133423,0.003077925855395207,12.00741704305013,0.35235388039787835,12.007412910461426,0.3523537645481552,1.371761639912923,0.0016543636727829555,12.007412910461426,0.3523537645481552,1.293018380800883,0.02177220944955609,10.714394529660543,0.37205053483849587,0.02662527561187744,0.011879314212254449,10.687769254048666,0.3608094265600647,-0.053258816401163735,0.02376020439596774,0.992685745761031,0.0016637988488662299,0.0,0.0,0.495552659034729,0.00015985503463831783,0.0,0.0,0.0,0.0,0.5232070088386536,0.0002974607464474748
baseline,7,113,128,3,0.0008598923644361397,8.377853486476894e-05,1.2528420289357503,0.06217647710542807,1.3392751614252727,0.0002957215677836535,11.43419075012207,0.23343516437700934,11.434186935424805,0.23343427627298283,1.3654820521672566,0.0013320398504143912,11.434186935424805,0.23343427627298283,1.2528420289357503,0.06217647710542807,10.181344906489054,0.19228095155513955,0.043214658896128334,0.031205034046972887,10.138130247592926,0.21172400993963295,-0.08643694718678792,0.0624106336613798,0.9888892878749332,0.00626715692240944,0.0,0.0,0.49539028604825336,0.00020433128237602705,0.0,0.0,0.0,0.0,0.5216368635495504,0.00036625464076119605
baseline,8,129,144,3,0.0007638647609079877,5.5787121820672676e-05,1.29156490166982,0.028457588233566262,1.334960659344991,0.0008349567423487391,10.961568196614584,0.10628282215465167,10.961565335591635,0.10628214530376892,1.3614014387130737,0.0008492376163278235,10.961565335591635,0.10628214530376892,1.29156490166982,0.028457588233566262,9.670000433921814,0.11315640797358838,0.02169644832611084,0.0138664850879272,9.648303985595703,0.10913382478461245,-0.04339861869812012,0.02773010859962776,0.9927849753016961,0.002923389466113883,0.0,0.0,0.4952400128046672,0.0001879946591038849,0.0,0.0,0.0,0.0,0.5204002658526102,0.0003243089835958927
baseline,9,145,160,3,0.0006655587931163609,3.074824473709137e-05,1.3280702034632366,0.022275598040725486,1.331488013267517,0.0005924600829641755,10.563042958577475,0.2765262882714481,10.563040097554525,0.27652551437217565,1.3573389450709026,0.00015742891493609521,10.563040097554525,0.27652551437217565,1.3280702034632366,0.022275598040725486,9.234969894091288,0.2945453926702033,0.0017074743906656902,0.011392195249814985,9.233262419700623,0.2853458190878275,-0.003420670827229818,0.022784920372630055,0.9968713407403468,0.00234187973351392,0.0,0.0,0.4950481752554576,0.00016120155887250367,0.0,0.0,0.0,0.0,0.5193814833958944,0.0003094238336788001
